player,position,team,age,birth_year,games,games_starts,games_complete,games_subs,unused_subs,minutes,minutes_per_game,minutes_pct,minutes_90s,minutes_per_start,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,plus_minus_wowy,xg_plus_minus_wowy,minutes_per_sub
Mehdi Torabi,MF,IR Iran,28,1994,3,0,0,3,0,62.0,21.0,23.0,0.7,,1.0,4.0,2.0,2.0,2.9,1.9,1.5,0.5,0.68,5.07,1.29,21.0
Memphis,FW,Netherlands,28,1994,5,3,0,2,0,297.0,59.0,61.9,3.3,74.0,2.2,7.0,4.0,3.0,0.91,3.7,4.8,-1.0,-0.31,-0.57,-0.09,37.0
Meshaal Barsham,GK,Qatar,24,1998,2,2,2,0,1,180.0,90.0,66.7,2.0,90.0,0.0,1.0,5.0,-4.0,-2.0,1.1,2.4,-1.3,-0.63,0.0,0.23,
Michael Estrada,FW,Ecuador,26,1996,3,3,0,0,0,225.0,75.0,83.3,2.5,75.0,1.33,3.0,2.0,1.0,0.4,2.9,2.0,0.9,0.36,0.4,-0.19,
MichaÅ SkóraÅś,MF,Poland,22,2000,1,0,0,1,3,45.0,45.0,12.5,0.5,,0.0,0.0,2.0,-2.0,-4.0,0.1,1.7,-1.6,-3.22,-4.0,-2.89,45.0
Michel Aebischer,MF,Switzerland,25,1997,1,0,0,1,3,16.0,16.0,4.4,0.2,,0.0,0.0,1.0,-1.0,-5.63,0.0,0.4,-0.4,-2.14,-4.84,-2.32,16.0
Michy Batshuayi,FW,Belgium,29,1993,2,2,0,0,1,151.0,76.0,55.9,1.7,76.0,1.5,1.0,1.0,0.0,0.0,1.5,3.2,-1.7,-1.04,0.76,-2.48,
Miki Yamane,DF,Japan,28,1993,1,1,0,0,3,61.0,61.0,15.6,0.7,61.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.3,0.48,-0.27,0.75,
Mikkel Damsgaard,MF,Denmark,22,2000,3,1,0,2,0,150.0,50.0,55.6,1.7,72.0,0.33,1.0,2.0,-1.0,-0.6,2.0,1.7,0.3,0.16,0.15,1.25,39.0
Milad Mohammadi,DF,IR Iran,29,1993,3,3,1,0,0,196.0,65.0,72.6,2.2,65.0,1.0,2.0,5.0,-3.0,-1.38,1.6,2.8,-1.2,-0.54,-1.38,-0.81,
Milan Borjan,GK,Canada,35,1987,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,0.0,2.0,7.0,-5.0,-1.67,4.2,3.9,0.3,0.11,,,
Miloš Degenek,DF,Australia,28,1994,4,2,1,2,0,183.0,46.0,50.8,2.0,81.0,1.5,1.0,2.0,-1.0,-0.49,0.7,2.0,-1.3,-0.65,0.02,1.18,11.0
Miloš Veljkovič,DF,Serbia,27,1995,3,3,1,0,0,221.0,74.0,81.9,2.5,74.0,0.33,5.0,8.0,-3.0,-1.22,3.0,6.2,-3.2,-1.3,-1.22,0.09,
Mislav Oršič,FW,Croatia,29,1992,6,1,0,5,1,162.0,27.0,23.5,1.8,89.0,1.5,4.0,2.0,2.0,1.11,1.9,2.1,-0.2,-0.13,1.28,0.5,15.0
Mitchell Duke,FW,Australia,31,1991,4,4,0,0,0,270.0,68.0,75.0,3.0,68.0,1.5,3.0,4.0,-1.0,-0.33,1.7,4.0,-2.3,-0.77,0.67,1.82,
Mohamed Ali Ben Romdhane,MF,Tunisia,23,1999,1,1,0,0,2,73.0,73.0,27.0,0.8,73.0,3.0,1.0,0.0,1.0,1.23,0.5,0.2,0.3,0.37,1.69,0.74,
Mohamed Dräger,DF,Tunisia,26,1996,2,2,0,0,1,132.0,66.0,48.9,1.5,66.0,0.5,0.0,1.0,-1.0,-0.68,1.2,1.7,-0.5,-0.32,-1.33,-0.3,
Mohamed Kanno,MF,Saudi Arabia,28,1994,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.0,3.0,5.0,-2.0,-0.67,3.0,6.0,-3.0,-1.01,,,
Mohammed Al Yami,GK,Saudi Arabia,25,1997,0,0,0,0,3,,,,,,,,,,,,,,,,,
