player,position,team,age,club,birth_year
Joachim Andersen,DF,Denmark,26,Crystal Palace,1996
Joakim Mæhle,DF,Denmark,25,Atalanta,1997
Joe Allen,MF,Wales,32,Swansea City,1990
Joe Morrell,MF,Wales,25,Portsmouth,1997
Joe Rodon,DF,Wales,25,Rennes,1997
Joel Campbell,FW,Costa Rica,30,LeÃ³n,1992
Johan Venegas,FW,Costa Rica,34,Liga Deportiva Alajuelense,1988
John Stones,DF,England,28,Manchester City,1994
Jonas Hofmann,FW,Germany,30,M'Gladbach,1992
Jonathan David,FW,Canada,22,Lille,2000
Jonathan Osorio,MF,Canada,30,Toronto FC,1992
Jordan Ayew,FW,Ghana,31,Crystal Palace,1991
Jordan Henderson,MF,England,32,Liverpool,1990
Jordan Morris,FW,United States,28,Seattle,1994
Jordan Pickford,GK,England,28,Everton,1994
Jordan Veretout,MF,France,29,Marseille,1993
Jordi Alba,DF,Spain,33,Barcelona,1989
Jorge Eduardo Sánchez,DF,Mexico,25,Ajax,1997
Josh Sargent,FW,United States,22,Norwich City,2000
Joshua Kimmich,MF,Germany,27,Bayern Munich,1995
Josip Juranović,DF,Croatia,27,Celtic,1995
Josip Stanišić,DF,Croatia,22,Bayern Munich,2000
Josip Å utalo,DF,Croatia,22,Dinamo Zagreb,2000
José Cifuentes,MF,Ecuador,23,Los Angeles FC,1999
José María Giménez,DF,Uruguay,27,AtlÃ©tico Madrid,1995
João Cancelo,DF,Portugal,28,Manchester City,1994
João Félix,FW,Portugal,23,AtlÃ©tico Madrid,1999
João Mário,FW,Portugal,29,Benfica,1993
João Palhinha,MF,Portugal,27,Fulham,1995
Joško Gvardiol,DF,Croatia,20,RB Leipzig,2002
Juan Foyth,DF,Argentina,24,Villarreal,1998
Juan Pablo Vargas,DF,Costa Rica,27,Millonarios,1995
Jude Bellingham,MF,England,19,Dortmund,2003
Jules Koundé,DF,France,24,Barcelona,1998
Julián Álvarez,FW,Argentina,22,Manchester City,2000
Jung Woo-young,MF,Korea Republic,33,Al Sadd SC,1989
Junior Hoilett,FW,Canada,32,Reading,1990
Junya Ito,MF,Japan,29,Reims,1993
Jurriën Timber,DF,Netherlands,21,Ajax,2001
Kai Havertz,FW,Germany,23,Chelsea,1999
Kalidou Koulibaly,DF,Senegal,31,Chelsea,1991
Kalvin Phillips,MF,England,27,Manchester City,1995
Kamal Miller,DF,Canada,25,CF MontrÃ©al,1997
Kamaldeen Sulemana,FW,Ghana,20,Rennes,2002
Kamil Glik,DF,Poland,34,Benevento,1988
Kamil Grosicki,MF,Poland,34,PogoÅ„ Szczecin,1988
Kaoru Mitoma,MF,Japan,25,Brighton,1997
Karim Ansarifard,FW,IR Iran,32,AC Omonia,1990
Karim Boudiaf,MF,Qatar,32,Al Duhail SC,1990
Karl Toko Ekambi,FW,Cameroon,30,Lyon,1992
Karol Świderski,FW,Poland,25,Charlotte,1997
Kasper Dolberg,FW,Denmark,25,Sevilla,1997
Kasper Schmeichel,GK,Denmark,36,Nice,1986
Keanu Baccus,MF,Australia,24,St Mirren,1998
Kellyn Acosta,MF,United States,27,Los Angeles FC,1995
Kendall Waston,DF,Costa Rica,34,Deportivo Saprissa,1988
Kenneth Taylor,MF,Netherlands,20,Ajax,2002
Kevin De Bruyne,FW,Belgium,31,Manchester City,1991
Kevin Rodríguez,FW,Ecuador,22,,2000
Kevin Álvarez,DF,Mexico,23,Pachuca,1999
Keylor Navas,GK,Costa Rica,36,Paris S-G,1986
Keysher Fuller,DF,Costa Rica,28,Club Sport Herediano,1994
Kieffer Moore,FW,Wales,30,Bournemouth,1992
Kieran Trippier,DF,England,32,Newcastle Utd,1990
