player,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,goals_per_shot_on_target
Ali Al Hassan,MF,Saudi Arabia,25,1997,0.5,0,1,0,0.0,2.0,0.0,0.0,10.4,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Ali Al-Bulaihi,DF,Saudi Arabia,33,1989,2.4,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Ali Assadalla,MF,Qatar,29,1993,0.3,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Ali Gholizadeh,MF,IR Iran,26,1996,2.2,0,1,0,0.0,0.45,0.0,0.0,26.2,0.0,0,0,0.0,0.0,0.03,0.0,0.0,
Ali Karimi,MF,IR Iran,28,1994,1.1,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Ali Maâloul,DF,Tunisia,32,1990,1.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Alidu Seidu,DF,Ghana,22,2000,1.7,0,1,0,0.0,0.58,0.0,0.0,31.9,0.0,0,0,0.0,0.0,0.01,0.0,0.0,
Alireza Beiranvand,GK,IR Iran,30,1992,1.2,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Alireza Jahanbakhsh,MF,IR Iran,29,1993,0.7,0,3,0,0.0,4.58,0.0,0.0,22.9,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,
Alisson,GK,Brazil,30,1992,4.2,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Alistair Johnston,DF,Canada,24,1998,3.0,0,2,1,50.0,0.67,0.33,0.0,8.5,0.0,0,0,0.8,0.8,0.4,-0.8,-0.8,0.0
Almoez Ali,FW,Qatar,26,1996,2.5,0,3,1,33.3,1.21,0.4,0.0,16.4,0.0,0,0,0.4,0.4,0.12,-0.4,-0.4,0.0
Alphonso Davies,MF,Canada,22,2000,3.0,1,3,1,33.3,1.0,0.33,0.33,21.0,1.0,0,1,1.1,0.3,0.09,-0.1,0.7,1.0
Amadou Onana,MF,Belgium,21,2001,1.2,0,2,0,0.0,1.73,0.0,0.0,8.3,0.0,0,0,0.5,0.5,0.23,-0.5,-0.5,
Anass Zaroury,FW,Morocco,22,2000,0.3,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Andre-Frank Zambo Anguissa,MF,Cameroon,27,1995,2.9,0,1,1,100.0,0.35,0.35,0.0,11.2,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,0.0
Andreas Christensen,DF,Denmark,26,1996,3.0,1,2,1,50.0,0.67,0.33,0.5,5.9,0.0,0,0,0.4,0.4,0.18,0.6,0.6,1.0
Andreas Cornelius,FW,Denmark,29,1993,1.0,0,5,2,40.0,4.89,1.96,0.0,10.2,0.0,0,0,1.0,1.0,0.2,-1.0,-1.0,0.0
Andreas Skov Olsen,FW,Denmark,22,1999,1.5,0,4,1,25.0,2.73,0.68,0.0,14.6,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,0.0
Andrej Kramarič,FW,Croatia,31,1991,5.3,2,10,4,40.0,1.9,0.76,0.2,15.1,0.0,0,0,1.6,1.6,0.16,0.4,0.4,0.5
Andries Noppert,GK,Netherlands,28,1994,5.3,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Andrija Živkovič,DF,Serbia,26,1996,2.3,0,1,0,0.0,0.43,0.0,0.0,24.4,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,
André Ayew,MF,Ghana,33,1989,2.2,1,1,1,100.0,0.45,0.45,1.0,17.3,0.0,0,1,1.1,0.4,0.36,-0.1,0.6,1.0
André Onana,GK,Cameroon,26,1996,0.9,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
André Silva,FW,Portugal,27,1995,0.3,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Andrés Guardado,MF,Mexico,36,1986,0.5,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Anis Ben Slimane,MF,Tunisia,21,2001,1.6,0,1,1,100.0,0.61,0.61,0.0,9.6,0.0,0,0,0.1,0.1,0.11,-0.1,-0.1,0.0
Ansu Fati,FW,Spain,20,2002,0.5,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Ante Budimir,FW,Croatia,31,1991,0.6,0,1,0,0.0,1.64,0.0,0.0,10.8,0.0,0,0,0.2,0.2,0.18,-0.2,-0.2,
Anthony Contreras,FW,Costa Rica,22,2000,1.4,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Antoine Griezmann,MF,France,31,1991,6.0,0,6,2,33.3,1.01,0.34,0.0,17.6,1.0,0,0,0.7,0.7,0.11,-0.7,-0.7,0.0
Antoine Semenyo,FW,Ghana,22,2000,0.2,0,1,0,0.0,4.5,0.0,0.0,13.5,0.0,0,0,0.0,0.0,0.05,0.0,0.0,
Antonee Robinson,DF,United States,25,1997,4.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Antonio Rüdiger,DF,Germany,29,1993,3.0,0,6,1,16.7,2.0,0.33,0.0,17.4,0.0,0,0,0.8,0.8,0.13,-0.8,-0.8,0.0
Antony,FW,Brazil,22,2000,1.9,0,6,2,33.3,3.14,1.05,0.0,22.2,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,0.0
António Silva,DF,Portugal,19,2003,1.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Ao Tanaka,MF,Japan,24,1998,1.9,1,1,1,100.0,0.53,0.53,1.0,1.5,0.0,0,0,1.0,1.0,0.96,0.0,0.0,1.0
Ardon Jasari,FW,Switzerland,20,2002,0.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Arkadiusz Milik,FW,Poland,28,1994,1.1,0,1,0,0.0,0.89,0.0,0.0,9.0,0.0,0,0,0.2,0.2,0.25,-0.2,-0.2,
Artur JÄędrzejczyk,DF,Poland,35,1987,0.2,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
